Student,Gender,Nationality
1,M,USA
2,M,India
3,M,USA
4,F,USA
5,M,USA
6,F,USA
7,F,USA
8,M,USA
9,M,USA
10,M,USA
11,M,Brazil
12,M,India
13,M,India
14,F,USA
15,M,India
16,M,USA
17,M,USA
18,M,USA
19,F,USA
20,M,USA
21,M,USA
22,F,USA
23,M,USA
24,M,USA
25,M,India
26,M,USA
27,M,USA
28,F,China
29,M,USA
30,M,USA
31,M,China
32,F,Taiwan
33,M,USA
34,M,South Korea
35,F,USA
36,M,South Korea
37,F,USA
38,M,USA
39,M,USA
40,M,USA
41,M,USA
42,F,India
43,M,USA
44,M,USA
45,M,USA
46,F,USA
47,M,India
48,M,India
49,F,USA
50,F,USA
51,F,USA
52,M,USA
53,M,Peru
54,F,USA
55,M,USA
56,M,USA
57,F,USA
58,M,USA
59,F,USA
60,M,USA
61,F,USA
62,M,USA
63,F,India
64,F,USA
65,M,USA
66,F,USA
67,M,USA
68,M,USA
69,M,China
70,M,USA
71,M,Brazil
72,F,Brazil
73,F,USA
74,M,USA
75,M,USA
76,M,USA
77,M,Japan
78,F,China
79,M,USA
80,M,Mexico
81,F,USA
82,M,USA
83,M,USA
84,M,USA
85,F,USA
86,F,Taiwan
87,F,Taiwan
88,M,USA
89,M,Barbados
90,M,USA
91,M,India
92,F,USA
93,M,USA
94,M,South Korea
95,M,USA
96,M,USA
97,M,USA
98,M,USA
99,F,USA
100,F,USA
101,M,India
102,M,India
103,F,USA
104,M,USA
105,M,India
106,M,South Korea
107,M,USA
108,M,USA
109,M,South Korea
110,M,USA
111,M,USA
112,F,India
113,M,USA
114,M,India
115,F,South Korea
116,M,South Korea
117,M,South Korea
118,M,South Korea
119,F,USA
120,M,China
121,F,USA
122,F,Taiwan
123,M,USA
124,F,USA
125,M,USA
126,M,USA
127,M,USA
128,F,China
129,M,USA
130,F,Puerto Rico
131,F,India
132,M,USA
133,M,USA
134,M,USA
135,M,USA
136,F,USA
137,M,USA
138,M,USA
139,F,USA
140,M,USA
141,F,India
142,F,India
143,F,USA
144,M,USA
145,M,Colombia
146,M,USA
147,F,Mexico
148,M,USA
149,M,South Korea
150,F,USA
151,F,USA
152,M,USA
153,F,USA
154,M,USA
155,M,USA
156,M,USA
157,F,Thailand
158,F,USA
159,F,USA
160,F,USA
161,M,USA
162,F,India
163,M,USA
164,F,India
165,M,India
166,F,USA
167,F,USA
168,M,India
169,M,USA
170,M,Peru
171,M,South Korea
172,M,USA
173,F,USA
174,M,Philippines
175,M,Japan
176,M,USA
177,M,USA
178,M,USA
179,M,China
180,M,China
181,M,USA
182,M,USA
183,M,India
184,M,India
185,F,USA
186,M,USA
187,M,USA
188,M,USA
189,M,USA
190,M,India
191,F,USA
192,M,USA
193,F,USA
194,M,USA
195,M,USA
196,M,USA
197,M,USA
198,F,USA
199,M,USA
200,F,South Korea
201,M,India
202,M,Japan
203,M,USA
204,M,USA
205,M,USA
206,M,USA
207,M,USA
208,F,Taiwan
209,M,India
210,F,USA
211,F,USA
212,F,USA
213,M,India
214,F,USA
215,M,India
216,F,USA
217,F,USA
218,M,USA
219,F,USA
220,F,USA
221,M,USA
222,F,China
223,M,USA
224,F,USA
225,M,China
226,M,USA
